alpha,max_depth,min_samples_leaf,criterion,ccp_alpha,bal_mean,bal_std,f1_mean,f1_std,fit_seconds,predict_seconds
0.875,13.0,1,gini,0.0,0.6158656072189594,0.014592037409195452,0.5424202091646975,0.011323137393710452,0.7439687605999097,0.017498963000070943
0.875,13.0,1,entropy,0.0,0.6116207372510173,0.013514433293354689,0.5417007242721766,0.0208366856733464,1.2713805163998586,0.018107416200018635
0.875,13.0,1,entropy,1e-05,0.6116052761336851,0.013516515120203312,0.5416890319739587,0.020805025147472914,1.2961399449999589,0.01913023820006856
0.875,13.0,1,entropy,1e-06,0.6115962873732667,0.013528106717339602,0.5416852512862576,0.020830198069828366,1.2468226398000297,0.017096367799967992
0.875,18.0,1,gini,1e-05,0.5735470709526901,0.010370624876860187,0.5407285141166914,0.010993442016602701,0.8752676950000022,0.018313327599935293
0.625,10.0,5,entropy,1e-06,0.6389322173817438,0.020624033535116017,0.54072256957636,0.020616050858960937,1.1716115384000205,0.017344265599967913
0.625,10.0,5,entropy,0.0,0.6389322173817438,0.020624033535116017,0.54072256957636,0.020616050858960937,1.1668028082000093,0.01678401780004606
0.625,10.0,5,entropy,1e-05,0.6389322173817438,0.020624033535116017,0.54072256957636,0.020616050858960937,1.1298439994000546,0.018298288799996953
0.625,10.0,1,entropy,1e-05,0.6314998739746593,0.021300055725445792,0.5403978526064598,0.023450833373912603,1.1631376279999586,0.019566028200006257
0.625,10.0,1,entropy,0.0,0.6314998739746593,0.021300055725445792,0.5403978526064598,0.023450833373912603,1.1969876141999976,0.01933557799998198
0.625,10.0,1,entropy,1e-06,0.6314998739746593,0.021300055725445792,0.5403978526064598,0.023450833373912603,1.1538052656000217,0.01782163019993277
0.875,18.0,1,gini,0.0,0.5727781453188558,0.010483766714744115,0.5401268700591622,0.011321456705770661,0.9398357768001006,0.019998986400059947
0.875,18.0,1,gini,1e-06,0.572766686219154,0.010505470607358446,0.5400915450193237,0.011368486018986131,0.9672415493999325,0.01830568699997457
0.75,,2,entropy,1e-05,0.5604505340705923,0.014485136740930722,0.5380395434924582,0.01565010186733446,1.6803982510001334,0.018337678799889547
0.875,18.0,1,entropy,0.0,0.5645188599475242,0.013722294584489281,0.5379003934089231,0.01601306494564224,1.3872409714000242,0.018136720400161722
0.875,18.0,1,entropy,1e-06,0.5645009204220034,0.013707609230581156,0.5378800307587956,0.01600080539264443,1.4445457785999678,0.01998554840001816
0.875,18.0,1,entropy,1e-05,0.5644387089733092,0.01368573941817229,0.5378711824673315,0.016051063330232665,1.4745191291999618,0.017971444399972825
0.75,,2,entropy,1e-06,0.5601680520310003,0.014324601428532759,0.5376085204033803,0.01568193732358448,1.70677319360002,0.01833853580010327
0.75,,2,entropy,0.0,0.560118164505077,0.014393944400960822,0.537570781655323,0.01568550812509231,1.7227915235999718,0.018597787600174342
0.75,,5,entropy,1e-05,0.5955316948908993,0.016855290634329858,0.5368997114851871,0.013554301918888208,1.4265706024000793,0.016461003600034017
0.75,,5,entropy,1e-06,0.5953152398521564,0.01670579418455091,0.5367531934832818,0.01334503890099645,1.530512472800001,0.016210264399978767
0.75,,5,entropy,0.0,0.5953152398521564,0.01670579418455091,0.5367526335728968,0.013344241809600787,1.5941656265999882,0.018317737199959085
0.875,,5,gini,1e-05,0.5951717755494779,0.022547660665259314,0.5357530831893014,0.015951234745224488,0.9098324976000185,0.017026749399974506
